Date,Mid
8/6/2021,0.01303
8/9/2021,0.01315
8/10/2021,0.01356
8/11/2021,0.01349
8/12/2021,0.01352
8/13/2021,0.01286
8/16/2021,0.01256
8/17/2021,0.01269
8/18/2021,0.01264
8/19/2021,0.0124
8/20/2021,0.01261
8/23/2021,0.01263
8/24/2021,0.01298
8/25/2021,0.01338
8/26/2021,0.01345
8/27/2021,0.01314
8/30/2021,0.01269
8/31/2021,0.01327
9/8/2021,0.01342
9/9/2021,0.01312
9/10/2021,0.01341
9/13/2021,0.01339
9/14/2021,0.01289
9/15/2021,0.01299
9/16/2021,0.01336
9/17/2021,0.01371
9/20/2021,0.01323
9/21/2021,0.01333
9/22/2021,0.01311
9/23/2021,0.01435
9/24/2021,0.01454
9/27/2021,0.01496
9/28/2021,0.01535
9/29/2021,0.01517
9/30/2021,0.01482
10/1/2021,0.01463
10/4/2021,0.01487
10/5/2021,0.01548
10/6/2021,0.01542
10/7/2021,0.01591
10/8/2021,0.01613
10/10/2021,0.01613
10/11/2021,0.01614
10/12/2021,0.01585
10/13/2021,0.01554
10/14/2021,0.01524
10/15/2021,0.01575
10/18/2021,0.0158
10/19/2021,0.01659
10/20/2021,0.0167
10/21/2021,0.01687
10/22/2021,0.01636
10/25/2021,0.01639
10/26/2021,0.01633
10/27/2021,0.01559
10/28/2021,0.01577
10/29/2021,0.0156
11/1/2021,0.01564
11/2/2021,0.01553
11/3/2021,0.01601
11/4/2021,0.01546
11/5/2021,0.01453
11/8/2021,0.01469
11/9/2021,0.01461
11/10/2021,0.01554
11/11/2021,0.01571
11/12/2021,0.01566
11/15/2021,0.01606
11/16/2021,0.01648
11/17/2021,0.01585
11/18/2021,0.01599
11/19/2021,0.01549
11/22/2021,0.0163
11/23/2021,0.0164
11/24/2021,0.01641
11/25/2021,0.01559
11/26/2021,0.01479
11/29/2021,0.01506
11/30/2021,0.01484
12/1/2021,0.01438
12/2/2021,0.01434
12/3/2021,0.01357
12/6/2021,0.01441
12/7/2021,0.01465
12/8/2021,0.01519
12/9/2021,0.01498
12/10/2021,0.01486
12/13/2021,0.01422
12/14/2021,0.01438
12/15/2021,0.01462
12/16/2021,0.01418
12/17/2021,0.01407
12/20/2021,0.01428
12/21/2021,0.0147
12/22/2021,0.01458
12/23/2021,0.01495
12/24/2021,0.01495
12/27/2021,0.01476
12/28/2021,0.01475
12/29/2021,0.01547
12/30/2021,0.0151
12/31/2021,0.01514
1/2/2022,0.01514
1/3/2022,0.01631
1/4/2022,0.01649
1/5/2022,0.01716
1/6/2022,0.01721
1/7/2022,0.01767
1/10/2022,0.01768
1/11/2022,0.01737
1/12/2022,0.01747
1/13/2022,0.01724
1/14/2022,0.01792
1/16/2022,0.01792
1/17/2022,0.01846
1/18/2022,0.01884
1/19/2022,0.01855
1/20/2022,0.01778
1/21/2022,0.01763
1/24/2022,0.01766
1/25/2022,0.01774
1/26/2022,0.0185
1/27/2022,0.01818
1/28/2022,0.01779
1/31/2022,0.01771
2/1/2022,0.01794
2/2/2022,0.01769
2/3/2022,0.0185
2/4/2022,0.01913
2/7/2022,0.01937
2/8/2022,0.01945
2/9/2022,0.01928
2/10/2022,0.02033
2/11/2022,0.01943
2/14/2022,0.01984
2/15/2022,0.02031
2/16/2022,0.01985
2/17/2022,0.01982
2/18/2022,0.01928
2/20/2022,0.01928
2/21/2022,0.01927
2/22/2022,0.01944
2/23/2022,0.01894
2/24/2022,0.01962
2/25/2022,0.01969
2/28/2022,0.01858
3/1/2022,0.01749
3/2/2022,0.01861
3/3/2022,0.01773
3/4/2022,0.01732
3/7/2022,0.01796
3/8/2022,0.01848
3/9/2022,0.01946
3/10/2022,0.0197
3/11/2022,0.01998
3/14/2022,0.0216
3/15/2022,0.02142
3/16/2022,0.02142
3/17/2022,0.02175
3/18/2022,0.02153
3/21/2022,0.02332
3/22/2022,0.0241
3/23/2022,0.02336
3/24/2022,0.0237
3/25/2022,0.02479
3/28/2022,0.0246
3/29/2022,0.02368
3/30/2022,0.02339
3/31/2022,0.02394
4/1/2022,0.02385
4/4/2022,0.024
4/5/2022,0.02612
4/6/2022,0.02581
4/7/2022,0.02662
4/8/2022,0.02715
4/11/2022,0.02827
4/12/2022,0.02742
4/13/2022,0.02686
4/14/2022,0.0283
4/15/2022,0.0283
